,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
10030,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"28,990","43,166",Carlsbad, CA,White,Black,0,2,Personal,00:02:10,"2021,11,02"
10031,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"37,980","33,804",Michigan Center, MI,White,Beige,0,Personal,Personal,00:02:10,"2021,11,02"
10032,Ford Explorer,Ford,2018,XLT 4WD,"27,995","28,600",Lumberton, NJ,Gray,Black,1,1,Personal,00:02:10,"2021,11,02"
10033,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 2WD,"27,800","107,973",Charlotte, NC,White,Unknown,0,2,Fleet,00:02:10,"2021,11,02"
10034,Toyota RAV4,Toyota,2018,XLE FWD,"22,941","33,633",Ocala, FL,Silver,Black,1,1,Personal,00:02:10,"2021,11,02"
10035,Nissan Rogue,Nissan,2018,SV AWD,"22,992","24,969",Wappingers Falls, NY,Gray,Black,0,1,Personal,00:02:10,"2021,11,02"
10036,Jeep Cherokee,Jeep,2019,Limited 4WD,"27,995","19,027",Sussex, NJ,Gray,Black,0,2,Personal,00:02:10,"2021,11,02"
10037,Ford F-150,Ford,2018,XLT SuperCab 6.5' Box 4WD,"19,800","174,183",Deland, FL,White,Gray,0,2,Fleet,00:02:10,"2021,11,02"
10038,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"35,456","38,371",Nevada, MO,Red,Black,0,2,Fleet,00:02:10,"2021,11,02"
10039,Jeep Compass,Jeep,2018,Latitude 4WD,"19,899","47,486",Canandaigua, NY,Gray,Black,0,2,Personal,00:02:10,"2021,11,02"
10040,Nissan Altima,Nissan,2015,2.5 S,"11,995","92,366",Tempe, AZ,White,Black,1,2,Fleet,00:02:10,"2021,11,02"
10041,Nissan Sentra,Nissan,2019,S CVT,"16,500","32,968",Costa Mesa, CA,Gray,Black,0,1,Personal,00:02:10,"2021,11,02"
10042,Chevrolet Malibu,Chevrolet,2019,LT with 1LT,"13,500","121,423",Jacksonville, FL,Black,Black,1,1,Personal,00:02:10,"2021,11,02"
10043,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"29,995","22,033",San Francisco, CA,White,Black,0,1,Personal,00:02:10,"2021,11,02"
10044,Nissan Altima,Nissan,2019,S FWD,"20,495","32,946",Fresno, CA,Gray,Black,0,1,Personal,00:02:10,"2021,11,02"
10045,Toyota Tacoma,Toyota,2017,TRD Sport Double Cab 5' Bed V6 4WD Manual,"34,928","33,115",Roseville, CA,Black,Gray,0,2,Personal,00:02:10,"2021,11,02"
10046,Toyota Corolla,Toyota,2020,LE CVT,"20,995","43,801",Starke, FL,Gray,Unknown,0,3,Personal,00:02:10,"2021,11,02"
10047,Hyundai Elantra,Hyundai,2017,SE 2.0L Sedan Automatic (alt),"9,395","103,171",Pompano Beach, FL,Gray,Gray,0,4,Fleet,00:02:10,"2021,11,02"
10048,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"19,000","60,716",San Diego, CA,White,Black,0,2,Personal,00:02:10,"2021,11,02"
10049,Jeep Cherokee,Jeep,2019,Limited 4WD,"27,599","35,000",Carmel, NY,White,Black,1,1,Personal,00:02:10,"2021,11,02"
